Highest Perceptron accuracy so far: 0.13967723984418476, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14023372287145242, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1407902058987201, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14134668892598776, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1419031719532554, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1424596549805231, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14301613800779076, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14357262103505844, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1441291040623261, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14468558708959378, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14524207011686144, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1457985531441291, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14635503617139678, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14691151919866444, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14746800222593212, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14802448525319978, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14858096828046743, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14913745130773512, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.14969393433500278, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15025041736227046, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15080690038953812, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15136338341680577, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15191986644407346, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15247634947134112, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1530328324986088, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15358931552587646, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15414579855314414, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1547022815804118, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15525876460767946, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15581524763494714, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1563717306622148, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15692821368948248, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15748469671675014, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1580411797440178, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15859766277128548, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15915414579855314, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.15971062882582082, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16026711185308848, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16082359488035614, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16138007790762382, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16193656093489148, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16249304396215916, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16304952698942682, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1636060100166945, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16416249304396216, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.16471897607122982, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1652754590984975, Parameters: learning rate=0.0001, shuffle=True
